id,candidate,candidate_confidence,relevant_yn,relevant_yn_confidence,sentiment,sentiment_s,sentiment_confidence,subject_matter,subject_matter_confidence,candidate_gold,name,relevant_yn_gold,retweet_count,sentiment_gold,subject_matter_gold,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
35,No candidate mentioned,1,yes,1,Negative,2,0.6576,FOX News or Moderators,0.6576,,1337invisible,,0,,,RT WinesdayPodcast : An update on FoxNews tech failures for the #GOPDebate http://t.co/FGGlf2J5HU http://t.co/Zw35DkUozi,,8/7/2015 9:54,6.29697E+17,News about tech and more!,Pacific Time (US & Canada)
36,No candidate mentioned,1,yes,1,Negative,2,0.6393,FOX News or Moderators,1,,TeaParty2A,,216,,,"RT @AmyMek: The Torched has been passed -&gt;.@CandyCrowley is no longer the most Famous Political Assassin! Congratulations @megynkelly, U Wiâ€¦",,8/7/2015 9:54,6.29697E+17,United States of America,Mazatlan
37,,0.2277,yes,0.6495,Negative,2,0.3402,None of the above,0.4218,,RotoStocks,,2,,,"RT @stockwizards3: Trump/Carson ticket would win in a landslide...
@realDonaldTrump @seanhannity @AnnCoulter #Republican #potus #Trump2016 â€¦",,8/7/2015 9:54,6.29697E+17,,
38,Jeb Bush,1,yes,1,Negative,2,1,None of the above,1,,shirley_3008,,3427,,,"RT @kvxrdashian: Jeb Bush: ""Obama is at fault, not my brother, because Obama didn't clean up the mess my brother made."" #GOPDebate http://tâ€¦",,8/7/2015 9:54,6.29697E+17,,
39,No candidate mentioned,1,yes,1,Negative,2,1,None of the above,0.6705,,jasonrlee,,3,,,"RT @ali: After the Fox News #GOPDebate, we primary voters are none the wiser on the policy plans these folks are putting forth. Journalism â€¦",,8/7/2015 9:54,6.29697E+17,Arizona,Arizona
40,No candidate mentioned,0.4398,yes,0.6632,Neutral,0,0.6632,None of the above,0.4398,,Julie38xo_,,12,,,RT @itsashlyperez: listening to fetty wap while packing because i'm a true american #GOPDebate #doesthishashtagexpire?,,8/7/2015 9:54,6.29697E+17,,
41,Donald Trump,0.4302,yes,0.6559,Negative,2,0.6559,None of the above,0.2398,,JmeMad,,4,,,RT @mgell: Trump is a cross between the shrug emoji and President Business from the Lego movie. #GOPDebate,,8/7/2015 9:54,6.29697E+17,"Chicago, IL",Central Time (US & Canada)
42,No candidate mentioned,1,yes,1,Negative,2,0.6596,None of the above,1,,nathansiegel_,,4006,,,"RT @JamelleMyBelle: Meanwhile, in the White House...  #GOPDebate http://t.co/nouUUt5hKq",,8/7/2015 9:54,6.29697E+17,,Eastern Time (US & Canada)
43,No candidate mentioned,0.3974,yes,0.6304,Neutral,0,0.3261,None of the above,0.3974,,Chase_Lea10,,50,,,"RT @RowdyGentleman: If youâ€™re planning out a #GOPDebate drinking game right now, youâ€™re a Rowdy Gentleman.",,8/7/2015 9:54,6.29697E+17,,Arizona
44,No candidate mentioned,1,yes,1,Negative,2,0.6869,Racial issues,0.6869,,Blessed_Sharday,,450,,,RT @brownblaze: PLEASE RT. #KKKorGOP #GOPDebate http://t.co/YaqYAC3uV3,,8/7/2015 9:54,6.29697E+17,Tac,Pacific Time (US & Canada)
45,Donald Trump,1,yes,1,Negative,2,1,Women's Issues (not abortion though),0.6713,,SarahMLevin,,0,,,"Trump thinks criticism of his misogynistic remarks is a ""political correctness"" problem. Nope, it's a pervasive #sexism problem. #GOPDebate",,8/7/2015 9:54,6.29697E+17,"Washington, DC",Atlantic Time (Canada)
46,No candidate mentioned,1,yes,1,Negative,2,0.6591,Racial issues,1,,briaslide,,4416,,,"RT @LeKarmaSucre: How the #GOPDebate handled #BlackLivesMatter 

http://t.co/8ZGdY6lPCT",,8/7/2015 9:54,6.29697E+17,,Central Time (US & Canada)
47,Donald Trump,0.4642,yes,0.6813,Neutral,0,0.3407,FOX News or Moderators,0.4642,,leeleemunster,,6,,,RT @palmaceiahome1: The goal of #FoxNews last night was to take out Trump and pave the way for a RINO like Bush or Kasich. #GOPDebate,,8/7/2015 9:54,6.29697E+17,,
48,Donald Trump,1,yes,1,Neutral,0,0.6524,Jobs and Economy,0.6524,,dbizcap,,189,,,RT @philstockworld: From our Live Chat Room: #GOPDebate #Trump #Futures $SPY #NonFarmPayrolls #Jobs #Netflix -- http://t.co/0K06Sf81rq httpâ€¦,,8/7/2015 9:54,6.29697E+17,California,
49,Donald Trump,1,yes,1,Positive,1,0.6353,FOX News or Moderators,1,,held_jana,,0,,,â€œ@DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 Fox say thanks,,8/7/2015 9:54,6.29697E+17,,
50,Mike Huckabee,1,yes,1,Negative,2,0.6458,None of the above,0.6762,,Matthew8News,,0,,,"RT @gov: Most-Tweeted @GovMikeHuckabee #GOPDebate moment: saying purpose of military ""to kill people/break things"" re trans servicemembers",,8/7/2015 9:54,6.29697E+17,"Richmond, VA",Eastern Time (US & Canada)
51,No candidate mentioned,0.4004,yes,0.6327,Neutral,0,0.6327,None of the above,0.4004,,Mor_Fost,,12,,,RT @ariannahuff: The best and worst from the #GOPDebate http://t.co/YkI30j7hhO,,8/7/2015 9:54,6.29697E+17,Fort Worth,New Delhi
52,Rand Paul,0.67,yes,1,Positive,1,0.6397,Women's Issues (not abortion though),0.6397,,WorldWarJess,,78,,,"RT @megynkelly: .@ChrisStirewalt: Big moments were @RandPaul vs. @ChrisChristie, and @realDonaldTrump reaction to women question. #KellyFilâ€¦",,8/7/2015 9:54,6.29697E+17,U.S. city with the most Cubans,Atlantic Time (Canada)
53,No candidate mentioned,1,yes,1,Negative,2,1,Women's Issues (not abortion though),1,,Radiant_Body,,4,,,"RT @STYLEMOM: Here's a question, WHY in the hell are WOMEN &amp; our body parts even in this debate? Foh, stop it, it's not 1965 wtf #GOPDebateâ€¦",,8/7/2015 9:54,6.29697E+17,"Denver, CO",Central Time (US & Canada)
54,Donald Trump,1,yes,1,Negative,2,0.6633,FOX News or Moderators,0.6633,,NewsWriter2,,0,,,@rushlimbaugh Americans getting beheaded overseas and @megynkelly is worried whether @realDonaldTrump calls Rosie O'Donnell fat? #GOPDebate,,8/7/2015 9:54,6.29697E+17,Los Angeles,Pacific Time (US & Canada)
55,No candidate mentioned,1,yes,1,Negative,2,0.6957,FOX News or Moderators,1,,realmojesse5372,,5,,,"RT @ChuckNellis: I won't defend @FoxNews, they were FAR from fair OR balanced last night, but name calling is juvenile. #GOPDebate",,8/7/2015 9:54,6.29697E+17,"Houston, TX",Central Time (US & Canada)
56,No candidate mentioned,1,yes,1,Negative,2,1,Religion,1,,HeathenTech,,5,,,"RT @theskysgoneout: To non-Christians, #GOPDebate ""God"" questions underline how little anyone really cares about religious minorities. Chriâ€¦",,8/7/2015 9:54,6.29697E+17,Midgard,Mountain Time (US & Canada)
57,No candidate mentioned,1,yes,1,Negative,2,1,Racial issues,1,,mombizzz,,105,,,RT @Bipartisanism: The #GOPDebate response to #BlackLivesMatter was pathetic. http://t.co/isMXbrRM0h,,8/7/2015 9:54,6.29697E+17,U.S.A,Central Time (US & Canada)
58,No candidate mentioned,0.224,yes,0.6611,Negative,2,0.6611,FOX News or Moderators,0.224,,janet_sistare,,23,,,RT @factcheckdotorg: .@JebBush said he cut FL taxes by $19B. But that includes cuts in estate taxes mandated by federal law. #GOPDebate. htâ€¦,,8/7/2015 9:54,6.29697E+17,"Rhinebeck, NY",
59,No candidate mentioned,1,yes,1,Negative,2,0.6667,Abortion,1,,debby_lowery,,230,,,"RT @mydaughtersarmy: Dear GOP,
If you want to stop abortions... 

#GOPDebate 
http://t.co/RbL1t4iPx6",,8/7/2015 9:54,6.29697E+17,NW Florida,Central Time (US & Canada)
60,Ted Cruz,0.4664,yes,0.6829,Positive,1,0.3659,Foreign Policy,0.2499,,MelanieEli2015,,123,,,"RT @KarrattiPaul: Join ISIS and sign your death warrant,
Signed @tedcruz next President of the USó¾“¦

#GOPDebate #WakeUpAmerica #CruzCrew httâ€¦",,8/7/2015 9:54,6.29697E+17,,
61,No candidate mentioned,0.4492,yes,0.6702,Negative,2,0.6702,None of the above,0.4492,,marcylauren,,83,,,RT @P0TUS: #GOPDebate closing statements: http://t.co/S15NLilLso,,8/7/2015 9:54,6.29697E+17,Delaware,Eastern Time (US & Canada)
62,No candidate mentioned,1,yes,1,Negative,2,1,FOX News or Moderators,1,,search4rr,,154,,,"RT @AmyMek: Status ðŸ‘‰ Single 

I broke up with @FoxNews last night!   Goodbye @megynkelly, @BretBaier &amp; Chris Wallace.

#GOPDebate http://t.â€¦",,8/7/2015 9:54,6.29697E+17,"Florida,, usually",Eastern Time (US & Canada)
63,Donald Trump,1,yes,1,Positive,1,0.6693,None of the above,0.6815,,tcot2014,,18,,,"RT @FrankLuntz: Before the #GOPDebate, 14 focus groupers said they had favorable view of Trump.

After, only 3 saw him positively.  http://â€¦",,8/7/2015 9:54,6.29697E+17, NYC,Eastern Time (US & Canada)
64,No candidate mentioned,1,yes,1,Positive,1,0.7065,None of the above,1,,DavidWarren25,,23,,,"RT @_Holly_Renee: Just made my first donation to @CarlyFiorina.
So impressed by her #GOPDebate performance.
#Fiorina http://t.co/JLfhFvZ7ST",,8/7/2015 9:54,6.29697E+17,San Diego,Pacific Time (US & Canada)
65,No candidate mentioned,1,yes,1,Negative,2,1,Foreign Policy,1,,TracyCarrillo15,,135,,,RT @TheJimHughes: If we want to stop sending foreign aid to places that burn our flag can we start with Berkeley? #GOPDebate,,8/7/2015 9:54,6.29697E+17,,
66,Rand Paul,1,yes,1,Neutral,0,0.6559,None of the above,1,,Van_der_Leun,,1322,,,RT @frankthorpNBC: The Rand Paul eye roll to Chris Christie at the #GOPDebate https://t.co/hf318QSoWD,,8/7/2015 9:54,6.29697E+17,"Seattle, WA",Pacific Time (US & Canada)
67,John Kasich,1,yes,1,Neutral,0,1,Foreign Policy,1,,kevinburger72,,45,,,RT @JohnKasich: Scrap the President's Iran deal. Iran canâ€™t get a nuke. #Kasich4Us #GOPDebate http://t.co/9TrZxOnLZF,,8/7/2015 9:54,6.29697E+17,,Central Time (US & Canada)
68,No candidate mentioned,1,yes,1,Neutral,0,0.6983,None of the above,1,,Mamadoxie,,0,,,Trying to decide if it's too early to come back to Twitter fulltime. Was gonna wait closer to election but the #GOPDebate may have me hooked,,8/7/2015 9:54,6.29697E+17,,Mountain Time (US & Canada)
69,Donald Trump,1,yes,1,Positive,1,0.3508,None of the above,1,,ancient_echoes,,484,,,"RT @MsPackyetti: Donald Trump's campaign reveals 1 important thing: Twitter Trolls are real people.

And they vote. 

That should scare eveâ€¦",,8/7/2015 9:54,6.29697E+17,"Oxnerd, California",Arizona
70,Donald Trump,1,yes,1,Negative,2,1,None of the above,1,,papalputz,,54,,,"RT @Bipartisanism: Those saying ""don't worry, Trump will NEVER be elected"" need to remember we elected George Bush. Twice. #GOPDebate http:â€¦",,8/7/2015 9:54,6.29697E+17,Vatican City,
71,Donald Trump,1,yes,1,Negative,2,1,FOX News or Moderators,1,,randomsubu,,0,,,"Fox News Had Its Own #GOPDebate Agenda: Promote Carly ""never mention fired from HP"" Fiorina, &amp; run Trump out of race http://t.co/9k1eujdFo7",,8/7/2015 9:54,6.29697E+17,"Pittsburgh, PA",Eastern Time (US & Canada)
72,No candidate mentioned,0.4444,yes,0.6667,Negative,2,0.6667,Jobs and Economy,0.2299,,matters_world,,11,,,"RT @HlLLARY: Oh, one more thing. Did anyone hear anything about affordable child care for working families last night in the #GOPDebate ? Iâ€¦",,8/7/2015 9:54,6.29697E+17,,
73,Jeb Bush,1,yes,1,Negative,2,0.6667,Foreign Policy,0.6667,,ceg1258,,4,,,"RT @NaughtyBeyotch: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/WQnSuPSPkC""",,8/7/2015 9:54,6.29697E+17,TEXAS is the greatest state,Central Time (US & Canada)
74,No candidate mentioned,1,yes,1,Positive,1,0.337,None of the above,1,,wise_bob,,0,,,@marthamaccallum @billhemmer #gopdebate Bill and Martha were the A Team in the first debate. 2nd debate was an ambush.,,8/7/2015 9:54,6.29697E+17,"Illinois, SW of Chicago",Central Time (US & Canada)
75,Donald Trump,1,yes,1,Negative,2,1,FOX News or Moderators,0.6768,,palmaceiahome1,,0,,,"The Country's going to hell and Megyn Kelly on #FoxNews is attacking Trump for a ""war on women?"" #GOPDebate",,8/7/2015 9:54,6.29697E+17,,Quito
76,No candidate mentioned,0.4536,yes,0.6735,Positive,1,0.6735,Religion,0.4536,,JoshL78,,233,,,"RT @Franklin_Graham: 1st #GOPDebate--Encouraging to see several candidates express their faith in God and His Son, Jesus Christ. http://t.câ€¦",,8/7/2015 9:54,6.29697E+17,"Walland, Tn",Eastern Time (US & Canada)
77,Donald Trump,0.4011,yes,0.6333,Negative,2,0.6333,,0.2322,,lindamama02,,5,,,"RT @SnarkyDemo: #DonaldTrump said heâ€™s not â€œpolitically correct.â€  Which, of course, is Trumpspeak for â€œLetâ€™s face it, Iâ€™m huge asshole.â€ #â€¦",,8/7/2015 9:54,6.29697E+17,,
78,No candidate mentioned,0.3819,yes,0.618,Negative,2,0.618,Abortion,0.3819,,DanielBeerthuis,,804,,,RT @Bipartisanism: A message to the #GOPDebate candidates: http://t.co/WFK5CmVgiN,,8/7/2015 9:54,6.29697E+17,"Holland, Michigan USA ",Eastern Time (US & Canada)
79,No candidate mentioned,0.6591,yes,1,Negative,2,1,None of the above,1,,agreenwood0216,,224,,,RT @davidcicilline: This is the worst episode of The Apprentice that I've ever seen. #GOPDebate,,8/7/2015 9:54,6.29697E+17,,
80,No candidate mentioned,0.6691,yes,1,Neutral,0,0.6691,None of the above,1,,MBryant_73,,18,,,"RT @GovMikeHuckabee: Luntz: ""As the lines go up, they almost reach 100. It almost never happens in the dial research we do."" #GOPDebate
httâ€¦",,8/7/2015 9:54,6.29697E+17,Searcy,Central Time (US & Canada)
81,No candidate mentioned,1,yes,1,Negative,2,0.6239,None of the above,0.6239,,reemarakhee,,1,,,"RT @lolhayley: ""The purpose of the military is to kill people and break things."" - something an actual man running for president just said â€¦",,8/7/2015 9:54,6.29697E+17,,Eastern Time (US & Canada)
82,No candidate mentioned,1,yes,1,Negative,2,0.6211,Healthcare (including Medicare),0.6986,,AtticusBooks,,0,,,Wondering if I could get the Republican Party to pay for my liver transplant after playing @mtaibbi #GOPDebate drinking game last night.,,8/7/2015 9:54,6.29697E+17,"Madison, NJ",Eastern Time (US & Canada)
83,No candidate mentioned,1,yes,1,Positive,1,0.6667,None of the above,1,,Phadros369,,6,,,RT @BrandonDHowell: Great way to start Friday. #CarlyFiorina @CarlyFiorina #GOPDebate http://t.co/1ai9CuZ8bY,,8/7/2015 9:54,6.29697E+17,,
84,Ted Cruz,0.6977,yes,1,Positive,1,0.6977,None of the above,1,,DeLoachJW,,1449,,,"RT @tedcruz: If elected, on my first day as President, I'll rescind every illegal and unconstitutional executive order enacted by Pres. Obaâ€¦",,8/7/2015 9:54,6.29697E+17,"Arrington, TN",Eastern Time (US & Canada)
85,Donald Trump,1,yes,1,Neutral,0,1,None of the above,1,,ou2va2le2monde2,,532,,,RT @Ronnie2K: Donald Trump during #GOPDebate be like... https://t.co/jCUirk1i1u,,8/7/2015 9:54,6.29697E+17,,Pacific Time (US & Canada)
86,No candidate mentioned,1,yes,1,Neutral,0,0.6626,None of the above,0.6497,,Willieintn,,23,,,RT @bruneski: Was upstairs putting the kids to bed. How many questions about climate change did I miss? #GOPDebate #GOPClownCar,,8/7/2015 9:54,6.29697E+17,,Eastern Time (US & Canada)
87,No candidate mentioned,1,yes,1,Negative,2,0.6889,Abortion,0.6889,,JoshDorner,,0,,,"Theyâ€™re all Todd Akin now: How the Planned Parenthood sting backfired on Republicans #GOPDebate #StandwithPP 
http://t.co/ekXPfKtHQn",,8/7/2015 9:54,6.29697E+17,The District. ,Quito
88,No candidate mentioned,1,yes,1,Negative,2,0.6629,FOX News or Moderators,0.6854,,HugeConspiracy,,61,,,RT @learjetter: Hey @Foxnews let #REPUBLICANS digest #GOPDebate before allowing crazy @DWStweets to TRASH OUR #GOP! @LadySandersfarm http:/â€¦,,8/7/2015 9:54,6.29697E+17,Southwest USA,
89,Donald Trump,1,yes,1,Negative,2,1,None of the above,0.3483,,DoremusJ,,13,,,RT @TheBaxterBean: Watch Donald Trump Receive Enormous Applause for Horribly Misogynistic #GOPDebate Answer http://t.co/R4e8TpOtd5 http://tâ€¦,,8/7/2015 9:54,6.29697E+17,9/10th mile north Nowhere OK,
90,No candidate mentioned,1,yes,1,Neutral,0,1,None of the above,1,,Daniel_DeMay,,0,,,A few of my favorite #Twitter responses to the #GOPDebate last night: http://t.co/2IqcdrCdlm http://t.co/7TDMA3VLM8,,8/7/2015 9:54,6.29697E+17,"Seattle, WA",Alaska
91,No candidate mentioned,0.4344,yes,0.6591,Positive,1,0.6591,FOX News or Moderators,0.4344,,LarkXOXO,,0,,,"Even though she's a super conservative reporter, I actually like Megyn Kelly's interview style &amp; she did great at the #GOPDebate",,8/7/2015 9:54,6.29697E+17,Stevens Point // DeKalb,Mountain Time (US & Canada)
92,No candidate mentioned,0.4444,yes,0.6667,Negative,2,0.6667,None of the above,0.4444,,RayT2011,,839,,,RT @kingsthings: The #GOPdebate is not a debate at all. It's a series of 1 minute opportunities to avoid answering a question one candidateâ€¦,,8/7/2015 9:54,6.29697E+17,Los Angeles,
93,No candidate mentioned,0.4258,yes,0.6526,Positive,1,0.3474,None of the above,0.4258,,poconofolks,,1,,,RT @MelissaGracey: Credit for this joke goes to someone else but it is funny! #GOPDebate http://t.co/iCreDSSplR,,8/7/2015 9:54,6.29697E+17,,
